Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,12057,132199,144256,0.0836,1.464
LRU,5787,138469,144256,0.0401,1.533
Marker,6768,137488,144256,0.0469,1.522
Predict[Parrot],22979,121277,144256,0.1593,1.343
PredMark[Parrot],7013,137243,144256,0.0486,1.520
LMarker[Parrot],6999,137257,144256,0.0485,1.520
LNonMarker[Parrot],7716,136540,144256,0.0535,1.512
FollowerRobust[ParrotState],8409,135847,144256,0.0583,1.504
Guard[Parrot]-f-pred-no-relax,15828,128428,144256,0.1097,1.422
Guard[Parrot]-f-pred-relax-times-5,19503,124753,144256,0.1352,1.381
"CombDet[Predict[Parrot], Marker]",22900,121356,144256,0.1587,1.344
"CombineRandom[Predict[Parrot], Marker]",22039,122217,144256,0.1528,1.353
