Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,53944,90312,144256,0.3739,1.000
Rand,11981,132275,144256,0.0831,1.465
LRU,5787,138469,144256,0.0401,1.533
Marker,6848,137408,144256,0.0475,1.521
Predict[PLECO],33411,110845,144256,0.2316,1.227
PredMark[PLECO],7966,136290,144256,0.0552,1.509
LMarker[PLECO],7976,136280,144256,0.0553,1.509
LNonMarker[PLECO],8904,135352,144256,0.0617,1.499
FollowerRobust[PLECOState],8568,135688,144256,0.0594,1.502
Guard[PLECO]-f-pred-no-relax,28952,115304,144256,0.2007,1.277
GuardWithoutRandomEvict[PLECO],36742,107514,144256,0.2547,1.190
GuardWithoutProtection[PLECO],7974,136282,144256,0.0553,1.509
"CombDet[Predict[PLECO], Marker]",33411,110845,144256,0.2316,1.227
"CombineRandom[Predict[PLECO], Marker]",32466,111790,144256,0.2251,1.238
