Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3491,67805,71296,0.049,1.000
Rand,152,71144,71296,0.0021,1.049
LRU,0,71296,71296,0.0,1.051
Marker,0,71296,71296,0.0,1.051
Predict[PLECO],52,71244,71296,0.0007,1.051
PredMark[PLECO],0,71296,71296,0.0,1.051
LMarker[PLECO],0,71296,71296,0.0,1.051
LNonMarker[PLECO],0,71296,71296,0.0,1.051
FollowerRobust[PLECOState],118,71178,71296,0.0017,1.050
Guard[PLECO]-f-pred-no-relax,1531,69765,71296,0.0215,1.029
GuardWithoutRandomEvict[PLECO],1625,69671,71296,0.0228,1.028
GuardWithoutProtection[PLECO],0,71296,71296,0.0,1.051
"CombDet[Predict[PLECO], Marker]",52,71244,71296,0.0007,1.051
"CombineRandom[Predict[PLECO], Marker]",52,71244,71296,0.0007,1.051
