Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,16938,4022,20960,0.8081,1.000
Rand,12429,8531,20960,0.593,2.121
LRU,13375,7585,20960,0.6381,1.886
Marker,13311,7649,20960,0.6351,1.902
Predict[PLECO],10803,10157,20960,0.5154,2.525
PredMark[PLECO],12997,7963,20960,0.6201,1.980
LMarker[PLECO],13043,7917,20960,0.6223,1.968
LNonMarker[PLECO],12935,8025,20960,0.6171,1.995
FollowerRobust[PLECOState],12906,8054,20960,0.6157,2.002
Guard[PLECO]-f-pred-no-relax,13165,7795,20960,0.6281,1.938
GuardWithoutRandomEvict[PLECO],12761,8199,20960,0.6088,2.039
GuardWithoutProtection[PLECO],13070,7890,20960,0.6236,1.962
"CombDet[Predict[PLECO], Marker]",13102,7858,20960,0.6251,1.954
"CombineRandom[Predict[PLECO], Marker]",11094,9866,20960,0.5293,2.453
