Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,9348,18396,27744,0.3369,1.000
Rand,1278,26466,27744,0.0461,1.439
LRU,0,27744,27744,0.0,1.508
Marker,328,27416,27744,0.0118,1.490
Predict[PLECO],1075,26669,27744,0.0387,1.450
PredMark[PLECO],829,26915,27744,0.0299,1.463
LMarker[PLECO],829,26915,27744,0.0299,1.463
LNonMarker[PLECO],816,26928,27744,0.0294,1.464
FollowerRobust[PLECOState],852,26892,27744,0.0307,1.462
Guard[PLECO]-f-pred-no-relax,4927,22817,27744,0.1776,1.240
GuardWithoutRandomEvict[PLECO],5629,22115,27744,0.2029,1.202
GuardWithoutProtection[PLECO],829,26915,27744,0.0299,1.463
"CombDet[Predict[PLECO], Marker]",1075,26669,27744,0.0387,1.450
"CombineRandom[Predict[PLECO], Marker]",1079,26665,27744,0.0389,1.449
