Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,11039,79393,90432,0.1221,1.000
Rand,3597,86835,90432,0.0398,1.094
LRU,2601,87831,90432,0.0288,1.106
Marker,3639,86793,90432,0.0402,1.093
Predict[PLECO],314,90118,90432,0.0035,1.135
PredMark[PLECO],4245,86187,90432,0.0469,1.086
LMarker[PLECO],4245,86187,90432,0.0469,1.086
LNonMarker[PLECO],4003,86429,90432,0.0443,1.089
FollowerRobust[PLECOState],3807,86625,90432,0.0421,1.091
Guard[PLECO]-f-pred-no-relax,894,89538,90432,0.0099,1.128
GuardWithoutRandomEvict[PLECO],889,89543,90432,0.0098,1.128
GuardWithoutProtection[PLECO],4244,86188,90432,0.0469,1.086
"CombDet[Predict[PLECO], Marker]",3503,86929,90432,0.0387,1.095
"CombineRandom[Predict[PLECO], Marker]",808,89624,90432,0.0089,1.129
