Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,24274,73486,97760,0.2483,1.000
Rand,2145,95615,97760,0.0219,1.301
LRU,0,97760,97760,0.0,1.330
Marker,21,97739,97760,0.0002,1.330
Predict[PLECO],463,97297,97760,0.0047,1.324
PredMark[PLECO],113,97647,97760,0.0012,1.329
LMarker[PLECO],113,97647,97760,0.0012,1.329
LNonMarker[PLECO],116,97644,97760,0.0012,1.329
FollowerRobust[PLECOState],638,97122,97760,0.0065,1.322
Guard[PLECO]-f-pred-no-relax,9585,88175,97760,0.098,1.200
GuardWithoutRandomEvict[PLECO],7981,89779,97760,0.0816,1.222
GuardWithoutProtection[PLECO],113,97647,97760,0.0012,1.329
"CombDet[Predict[PLECO], Marker]",463,97297,97760,0.0047,1.324
"CombineRandom[Predict[PLECO], Marker]",463,97297,97760,0.0047,1.324
