Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,27637,61867,89504,0.3088,1.000
Rand,8654,80850,89504,0.0967,1.307
LRU,8493,81011,89504,0.0949,1.309
Marker,8398,81106,89504,0.0938,1.311
Predict[PLECO],6223,83281,89504,0.0695,1.346
PredMark[PLECO],8496,81008,89504,0.0949,1.309
LMarker[PLECO],8455,81049,89504,0.0945,1.310
LNonMarker[PLECO],8945,80559,89504,0.0999,1.302
FollowerRobust[PLECOState],9462,80042,89504,0.1057,1.294
Guard[PLECO]-f-pred-no-relax,15892,73612,89504,0.1776,1.190
GuardWithoutRandomEvict[PLECO],15557,73947,89504,0.1738,1.195
GuardWithoutProtection[PLECO],8464,81040,89504,0.0946,1.310
"CombDet[Predict[PLECO], Marker]",8832,80672,89504,0.0987,1.304
"CombineRandom[Predict[PLECO], Marker]",7173,82331,89504,0.0801,1.331
