Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,3840,68640,72480,0.053,1.000
Rand,0,72480,72480,0.0,1.056
LRU,0,72480,72480,0.0,1.056
Marker,0,72480,72480,0.0,1.056
Predict[PLECO],3840,68640,72480,0.053,1.000
PredMark[PLECO],0,72480,72480,0.0,1.056
LMarker[PLECO],0,72480,72480,0.0,1.056
LNonMarker[PLECO],0,72480,72480,0.0,1.056
FollowerRobust[PLECOState],3840,68640,72480,0.053,1.000
Guard[PLECO]-f-pred-no-relax,3840,68640,72480,0.053,1.000
GuardWithoutRandomEvict[PLECO],3840,68640,72480,0.053,1.000
GuardWithoutProtection[PLECO],0,72480,72480,0.0,1.056
"CombDet[Predict[PLECO], Marker]",3840,68640,72480,0.053,1.000
"CombineRandom[Predict[PLECO], Marker]",3840,68640,72480,0.053,1.000
