Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76247,294441,370688,0.2057,1.433
LRU,100408,270280,370688,0.2709,1.315
Marker,94949,275739,370688,0.2561,1.342
Predict[Parrot],56124,314564,370688,0.1514,1.531
PredMark[Parrot],86837,283851,370688,0.2343,1.381
LMarker[Parrot],86290,284398,370688,0.2328,1.384
LNonMarker[Parrot],88249,282439,370688,0.2381,1.374
FollowerRobust[ParrotState],97288,273400,370688,0.2625,1.330
Guard[Parrot]-f-pred-no-relax,122711,247977,370688,0.331,1.207
Guard[Parrot]-f-pred-relax-times-5,107963,262725,370688,0.2913,1.278
"CombDet[Predict[Parrot], Marker]",95571,275117,370688,0.2578,1.339
"CombineRandom[Predict[Parrot], Marker]",88968,281720,370688,0.24,1.371
