Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,165176,205512,370688,0.4456,1.000
Rand,76406,294282,370688,0.2061,1.432
LRU,100408,270280,370688,0.2709,1.315
Marker,94934,275754,370688,0.2561,1.342
Predict[PLECO],33680,337008,370688,0.0909,1.640
PredMark[PLECO],96372,274316,370688,0.26,1.335
LMarker[PLECO],96437,274251,370688,0.2602,1.334
LNonMarker[PLECO],98901,271787,370688,0.2668,1.322
FollowerRobust[PLECOState],93918,276770,370688,0.2534,1.347
Guard[PLECO]-f-pred-no-relax,145477,225211,370688,0.3925,1.096
GuardWithoutRandomEvict[PLECO],154248,216440,370688,0.4161,1.053
GuardWithoutProtection[PLECO],96405,274283,370688,0.2601,1.335
"CombDet[Predict[PLECO], Marker]",95063,275625,370688,0.2565,1.341
"CombineRandom[Predict[PLECO], Marker]",86108,284580,370688,0.2323,1.385
