Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,960,68640,69600,0.0138,1.000
Rand,18,69582,69600,0.0003,1.014
LRU,9,69591,69600,0.0001,1.014
Marker,8,69592,69600,0.0001,1.014
Predict[Parrot],583,69017,69600,0.0084,1.005
PredMark[Parrot],9,69591,69600,0.0001,1.014
LMarker[Parrot],9,69591,69600,0.0001,1.014
LNonMarker[Parrot],10,69590,69600,0.0001,1.014
FollowerRobust[ParrotState],349,69251,69600,0.005,1.009
Guard[Parrot]-f-pred-no-relax,464,69136,69600,0.0067,1.007
Guard[Parrot]-f-pred-relax-times-5,558,69042,69600,0.008,1.006
"CombDet[Predict[Parrot], Marker]",583,69017,69600,0.0084,1.005
"CombineRandom[Predict[Parrot], Marker]",583,69017,69600,0.0084,1.005
