Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,960,68640,69600,0.0138,1.000
Rand,22,69578,69600,0.0003,1.014
LRU,9,69591,69600,0.0001,1.014
Marker,10,69590,69600,0.0001,1.014
Predict[PLECO],747,68853,69600,0.0107,1.003
PredMark[PLECO],13,69587,69600,0.0002,1.014
LMarker[PLECO],13,69587,69600,0.0002,1.014
LNonMarker[PLECO],13,69587,69600,0.0002,1.014
FollowerRobust[PLECOState],494,69106,69600,0.0071,1.007
Guard[PLECO]-f-pred-no-relax,479,69121,69600,0.0069,1.007
GuardWithoutRandomEvict[PLECO],494,69106,69600,0.0071,1.007
GuardWithoutProtection[PLECO],13,69587,69600,0.0002,1.014
"CombDet[Predict[PLECO], Marker]",747,68853,69600,0.0107,1.003
"CombineRandom[Predict[PLECO], Marker]",747,68853,69600,0.0107,1.003
