Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,29461,39979,69440,0.4243,1.000
Rand,12206,57234,69440,0.1758,1.432
LRU,14191,55249,69440,0.2044,1.382
Marker,14160,55280,69440,0.2039,1.383
Predict[PLECO],6832,62608,69440,0.0984,1.566
PredMark[PLECO],14045,55395,69440,0.2023,1.386
LMarker[PLECO],14106,55334,69440,0.2031,1.384
LNonMarker[PLECO],13788,55652,69440,0.1986,1.392
FollowerRobust[PLECOState],13931,55509,69440,0.2006,1.388
Guard[PLECO]-f-pred-no-relax,12271,57169,69440,0.1767,1.430
GuardWithoutRandomEvict[PLECO],12548,56892,69440,0.1807,1.423
GuardWithoutProtection[PLECO],14074,55366,69440,0.2027,1.385
"CombDet[Predict[PLECO], Marker]",13774,55666,69440,0.1984,1.392
"CombineRandom[Predict[PLECO], Marker]",10056,59384,69440,0.1448,1.485
