Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,30706,10382,41088,0.7473,1.000
Rand,22742,18346,41088,0.5535,1.767
LRU,5236,35852,41088,0.1274,3.453
Marker,17302,23786,41088,0.4211,2.291
Predict[PLECO],27297,13791,41088,0.6644,1.328
PredMark[PLECO],25554,15534,41088,0.6219,1.496
LMarker[PLECO],25325,15763,41088,0.6164,1.518
LNonMarker[PLECO],24220,16868,41088,0.5895,1.625
FollowerRobust[PLECOState],21641,19447,41088,0.5267,1.873
Guard[PLECO]-f-pred-no-relax,29689,11399,41088,0.7226,1.098
GuardWithoutRandomEvict[PLECO],28471,12617,41088,0.6929,1.215
GuardWithoutProtection[PLECO],25317,15771,41088,0.6162,1.519
"CombDet[Predict[PLECO], Marker]",27213,13875,41088,0.6623,1.336
"CombineRandom[Predict[PLECO], Marker]",26676,14412,41088,0.6492,1.388
