Name,Hit,Miss,Total,Hit Rate,Cost Ratio
OPT,4915,3725,8640,0.5689,1.000
Rand,3274,5366,8640,0.3789,1.441
LRU,3895,4745,8640,0.4508,1.274
Marker,3745,4895,8640,0.4334,1.314
Predict[PLECO],2484,6156,8640,0.2875,1.653
PredMark[PLECO],3635,5005,8640,0.4207,1.344
LMarker[PLECO],3668,4972,8640,0.4245,1.335
LNonMarker[PLECO],3641,4999,8640,0.4214,1.342
FollowerRobust[PLECOState],3695,4945,8640,0.4277,1.328
Guard[PLECO]-f-pred-no-relax,3783,4857,8640,0.4378,1.304
GuardWithoutRandomEvict[PLECO],3646,4994,8640,0.422,1.341
GuardWithoutProtection[PLECO],3687,4953,8640,0.4267,1.330
"CombDet[Predict[PLECO], Marker]",3623,5017,8640,0.4193,1.347
"CombineRandom[Predict[PLECO], Marker]",2628,6012,8640,0.3042,1.614
