0x417a82,0x28e837c85a82
0x418528,0xfdfd3a8c47c0
0x417c67,0xfdfd3a8d0988
0x4179f2,0xfdfd3a8d2ef0
0x417a06,0xfdfd3a8d5110
0x417a57,0xfdfd3a8d6748
0x417c67,0xfdfd3a8d8988
0x417a57,0xfdfd3a8dbf48
0x417c67,0xfdfd3a8e1188
0x41130b,0xfdfd3a8c7200
0x417a06,0xfdfd3a8d9110
0x417b90,0xfdfd3a8e0188
0x417b90,0xfdfd3a8e0988
0x4179f2,0xa2132192ef0
0x4184b8,0xa213218dfd0
0x4185c0,0xa2132194700
0x417c67,0xa2132198988
0x417c32,0x98f5690d5110
0x41130b,0xfdfd3a8c7280
0x417a57,0x98f5690d6748
0x4184b8,0xa2132194f90
0x417b90,0xa2132190988
0x417a57,0x98f5690dbf48
0x417a06,0xa2132199110
0x4185c0,0x98f5690d8fc0
0x417c67,0x98f5690e0188
0x4184b8,0x98f5690e1190
0x417c67,0x98f5690e0988
0x417a57,0x98f5690e2748
0x417c32,0x98f5690e3110
0x417a06,0x98f5690d9110
0x417c32,0x98f5690e5110
0x417a06,0xa2132195110
0x417c67,0x98f5690f0988
0x4184b8,0x98f5690f1350
0x418528,0x98f5690f1380
0x4179f2,0x98f5690f2ef0
0x417a27,0x98f5690f4708
0x417c32,0x98f5690f5110
0x4184b8,0x98f5690f1c50
0x417a57,0x98f5690f6748
0x411300,0xfdfd3a8c6380
0x417a57,0x98f5690fbf48
0x417c67,0x98f569100188
0x418528,0x98f5691010c0
0x417c67,0x98f569100988
0x417a57,0x98f569102748
0x417c32,0x98f569103110
0x417a06,0x98f5690f9110
0x417c32,0x98f569105110
0x4185c0,0x98f569101c40
0x4184b8,0x98f569108b90
0x417c67,0x98f569110988
0x4179f2,0x98f569112ef0
0x417a27,0x98f569114708
0x417c32,0x98f569115110
0x4185c0,0x98f569111e00
0x4184b8,0x8ad3301c08d0
0x417a27,0x8ad3301c5708
0x4184b8,0x8ad3301c0d50
0x417b90,0x8ad3301c1188
0x418528,0xea2062c08c0
0x417a06,0x8ad3301c3110
0x417a27,0xea2062c5708
0x418528,0xea2062c0d40
0x417a06,0x8ad3301c5110
0x4185c0,0xea2062c98c0
0x417b90,0xea2062c1188
0x417a06,0xea2062c3110
0x417a06,0xea2062c5110
0x4184b8,0xea2062d9110
0x417c67,0xea2062d8988
0x417a06,0xea2062d5110
0x411300,0xfdfd3a8c6580
0x417a27,0xea2062e5708
0x417a06,0xea2062e3110
0x417a06,0xea2062e5110
0x418528,0xea2062f0980
0x417b90,0xea2062e1188
0x417c32,0xea2062f9110
0x417b90,0xea2062f8988
0x418528,0xea2062fa4c0
0x417a57,0xea2062fbf48
0x417c67,0xea206300188
0x417c67,0xea206300988
0x417b90,0xea206301188
0x417a57,0xea206302748
0x417c32,0xea206303110
0x417a27,0xea206305708
0x417a06,0xea206305110
0x417c67,0xea206310988
0x417c32,0xea206319110
0x417c67,0xea206320188
0x417a06,0xea206315110
0x417c67,0xea206320988
0x417b90,0xea206318988
0x417a27,0xea206325708
0x4184b8,0xea206327a10
0x4184b8,0xea206327c50
0x4185c0,0xea206327cc0
0x417b90,0xea206321188
0x417a06,0xea206323110
0x417c67,0xea206330988
0x417a06,0xea206325110
0x4185c0,0xea20632e800
0x417c32,0xea206339110
0x418528,0xea20633e500
0x417a06,0xea206335110
0x418528,0xea20633ebc0
0x417b90,0xea206338988
0x417c67,0xa1abd7fd8988
0x417a06,0xa1abd7fd5110
0x4184b8,0xa1abd7fe08d0
0x417a27,0xa1abd7fe5708
0x4184b8,0xa1abd7fe0d50
0x417b90,0xa1abd7fe1188
0x418528,0xa1abd7fe98c0
0x417a06,0xa1abd7fe3110
0x417a06,0xa1abd7fe5110
0x4184b8,0x6c6f1e4c0190
0x4185c0,0x6c6f1e4c08c0
0x4185c0,0x6c6f1e4c0d40
0x417b90,0xa1abd7ff0988
0x417c67,0xe8035e460188
0x417b90,0x6c6f1e4c1188
0x417c67,0xe8035e460988
0x4184b8,0xe8035e465110
0x4185c0,0xe8035e465a80
0x417b90,0xe8035e461188
0x417c67,0xe8035e470988
0x4185c0,0xe8035e475100
0x417a57,0xe8035e476748
0x417c32,0xe8035e479110
0x417a06,0xe8035e463110
0x418528,0xe8035e47c500
0x417c67,0xe8035e480188
0x417c67,0xe8035e480988
0x41130b,0xfdfd3a8c7a00
0x417b90,0xe8035e478988
0x418528,0xe8035e485700
0x417b90,0xe8035e481188
0x417a06,0xe8035e483110
0x417c67,0xe8035e490988
0x418528,0xe8035e48cd80
0x4185c0,0xe8035e495240
0x417a57,0xe8035e496748
0x417c32,0xe8035e499110
0x417c67,0xe8035e4a0188
0x417c67,0xe8035e4a0988
0x4185c0,0xe8035e49ed40
0x417b90,0xe8035e498988
0x418528,0xe8035e4a5a80
0x417b90,0xe8035e4a1188
0x417a06,0xe8035e4a3110
